Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,3287.6,3288.0,3290.4,3277.4,3277.5,3285.3,3279.2,3280.0,3284.0,3257.6,3261.0,3254.8
1991,3249.7,3240.6,3240.7,3230.8,3224.6,3211.6,3203.8,3201.8,3201.7,3196.4,3196.5,3192.3
1992,3199.4,3200.9,3195.5,3203.4,3205.7,3205.0,3215.7,3213.9,3216.1,3224.3,3226.1,3230.1
1993,3234.8,3238.0,3235.0,3271.3,3274.6,3274.8,3276.9,3278.1,3267.0,3284.5,3287.7,3289.7
1994,3289.9,3294.9,3301.9,3321.4,3323.5,3336.0,3351.4,3359.0,3359.0,3343.6,3358.3,3356.9
1995,3386.4,3400.7,3409.2,3395.7,3395.8,3406.0,3406.6,3409.4,3433.2,3427.6,3432.4,3438.5
1996,3436.4,3436.1,3442.5,3440.0,3445.3,3449.0,3447.2,3457.1,3445.0,3460.8,3471.7,3469.8
1997,3471.9,3473.2,3481.8,3490.9,3502.2,3507.0,3506.4,3507.9,3511.4,3516.1,3522.2,3535.1
1998,3550.7,3551.9,3541.0,3553.1,3559.0,3551.4,3562.2,3562.6,3573.0,3576.5,3577.8,3578.9
1999,3581.6,3594.1,3589.3,3583.3,3574.8,3578.4,3585.8,3581.4,3579.0,3605.9,3611.4,3613.8
2000,3608.0,3616.5,3623.9,3624.3,3627.5,3631.4,3625.3,3635.3,3633.4,3638.5,3643.6,3640.4
2001,3641.1,3640.7,3641.0,3633.6,3631.1,3638.0,3609.7,3602.6,3591.2,3565.0,3551.5,3547.3
2002,3548.2,3534.7,3526.1,3531.8,3525.0,3524.3,3523.7,3523.4,3512.3,3513.1,3513.2,3507.4
2003,3505.6,3499.5,3492.6,3487.2,3486.6,3483.9,3493.6,3491.1,3480.0,3472.4,3463.4,3468.9
2004,3466.9,3466.9,3469.9,3472.8,3476.3,3478.8,3479.6,3478.3,3477.1,3488.3,3488.9,3490.2
2005,3486.0,3488.3,3487.0,3509.3,3501.6,3495.1,3511.8,3510.1,3522.0,3523.8,3529.5,3530.9
2006,3536.7,3546.9,3548.5,3552.3,3547.1,3558.0,3555.3,3558.5,3561.4,3557.2,3563.1,3568.3
2007,3575.6,3571.0,3581.7,3578.2,3583.1,3584.8,3582.9,3584.1,3580.9,3579.9,3584.5,3585.7
2008,3586.0,3583.2,3578.8,3582.0,3576.6,3567.9,3566.2,3560.3,3542.7,3533.7,3510.2,3492.0
2009,3466.0,3447.3,3423.2,3398.4,3384.4,3367.7,3358.2,3343.3,3341.8,3341.4,3334.7,3331.7
2010,3334.9,3335.9,3334.0,3340.8,3351.0,3343.7,3327.6,3334.0,3344.6,3360.0,3361.0,3362.7
2011,3368.5,3371.4,3377.6,3389.3,3381.2,3384.6,3391.8,3397.7,3405.8,3406.1,3408.2,3408.2
2012,3418.1,3421.2,3429.8,3434.1,3434.3,3439.7,3441.6,3449.6,3457.5,3459.2,3467.6,3469.3
2013,3476.6,3486.2,3488.5,3486.0,3496.1,3498.5,3503.2,3509.5,3515.7,3515.1,3520.2,3529.7
2014,3529.0,3535.0,3539.6,3550.3,3560.5,3561.4,3559.7,3569.0,3571.7,3582.0,3586.0,3596.2
2015,3597.6,3604.0,3603.8,3626.8,3640.5,3640.2,3646.3,3643.5,3648.3,3663.5,3659.3,3667.5
2016,3676.7,3676.4,3673.0,3690.6,3684.8,3687.1,3699.4,3700.3,3702.7,3704.9,3706.4,3706.9
2017,3709.6,3716.5,3718.6,3708.0,3715.6,3717.7,3716.1,3719.6,3723.6,3727.5,3730.3,3733.2
2018,3728.7,3734.1,3744.0,3726.5,3739.7,3747.8,3752.2,3752.5,3754.8,3752.1,3758.9,3755.2
2019,3755.2,3750.8,3753.1,3759.9,3774.0,3780.0,3781.9,3778.6,3775.1,3778.1,3783.0,3784.6
2020,3797.0,3794.0,3751.8,3265.0,3263.0,3329.3,3405.9,3438.9,3456.5,3490.3,3460.1,3460.5
2021,3485.6,3504.5,3516.5,3530.3,3530.3,3552.2,3583.7,3580.8,3589.2,3636.3,3648.9,3668.8
2022,3669.3,3681.6,3689.9,3700.3,3704.2,3711.9,3757.4,3749.2,3746.2,3752.1,3754.8,3748.9
2023,3779.5,3773.4,3774.3,3777.2,3781.3,3802.6,3808.8,3795.5,3791.7,3787.2,3790.1,3789.2
2024,3788.6,3785.4,3790.0,3786.5,3793.0,3799.8,3818.9,3802.9,3803.2,3803.5,3802.4,3808.1
2025,3811.1,3814.8,3811.9,3810.8,3817.8,3824.0,3822.6,3825.2,3838.5,3827.8,3827.5,3835.9
