Year,Period,Value
1990,M01,251.6
1990,M02,256.1
1990,M03,257.7
1990,M04,263.4
1990,M05,265.2
1990,M06,269
1990,M07,270.1
1990,M08,270.4
1990,M09,274.1
1990,M10,274.1
1990,M11,276.6
1990,M12,273.7
1991,M01,259.9
1991,M02,262.9
1991,M03,264.3
1991,M04,267.5
1991,M05,269.3
1991,M06,271.6
1991,M07,272.1
1991,M08,275
1991,M09,275.4
1991,M10,276.2
1991,M11,278.6
1991,M12,276.9
1992,M01,264.5
1992,M02,268.1
1992,M03,269
1992,M04,273.9
1992,M05,276.8
1992,M06,279.4
1992,M07,277.8
1992,M08,279.9
1992,M09,283.1
1992,M10,285.1
1992,M11,287
1992,M12,285.9
1993,M01,274.5
1993,M02,276.7
1993,M03,277.9
1993,M04,280.6
1993,M05,285.2
1993,M06,286.9
1993,M07,287
1993,M08,288.3
1993,M09,291.4
1993,M10,294.6
1993,M11,297.1
1993,M12,296.2
1994,M01,281.4
1994,M02,284.6
1994,M03,287.4
1994,M04,291.2
1994,M05,293.3
1994,M06,296.1
1994,M07,296.2
1994,M08,296.2
1994,M09,301.6
1994,M10,301.5
1994,M11,306.1
1994,M12,304.8
1995,M01,292.4
1995,M02,294.8
1995,M03,297.8
1995,M04,299
1995,M05,301.2
1995,M06,304.2
1995,M07,301.3
1995,M08,303.5
1995,M09,306.3
1995,M10,306.3
1995,M11,309.3
1995,M12,308.5
1996,M01,298.3
1996,M02,299.1
1996,M03,302.5
1996,M04,305.3
1996,M05,308.5
1996,M06,311.9
1996,M07,307.7
1996,M08,309.2
1996,M09,312.3
1996,M10,315.1
1996,M11,319.7
1996,M12,318.1
1997,M01,304.2
1997,M02,306.9
1997,M03,308.4
1997,M04,312.3
1997,M05,315.6
1997,M06,318
1997,M07,316.1
1997,M08,318.2
1997,M09,320.3
1997,M10,321.6
1997,M11,325.5
1997,M12,324.7
1998,M01,313.6
1998,M02,314.3
1998,M03,316.1
1998,M04,321.4
1998,M05,323
1998,M06,326.6
1998,M07,324.1
1998,M08,324.6
1998,M09,325.8
1998,M10,328.3
1998,M11,332.3
1998,M12,333.5
1999,M01,322.3
1999,M02,321.5
1999,M03,323.6
1999,M04,329.9
1999,M05,330.4
1999,M06,335.7
1999,M07,334
1999,M08,335
1999,M09,335.8
1999,M10,337.1
1999,M11,339.3
1999,M12,339.9
2000,M01,328.5
2000,M02,329
2000,M03,331.2
2000,M04,337.2
2000,M05,337.4
2000,M06,342.8
2000,M07,338
2000,M08,338.9
2000,M09,339.5
2000,M10,342.3
2000,M11,346.5
2000,M12,344.8
2001,M01,333
2001,M02,336.1
2001,M03,338.1
2001,M04,343.8
2001,M05,344.1
2001,M06,348.7
2001,M07,343.4
2001,M08,343.9
2001,M09,346.7
2001,M10,347.2
2001,M11,349.8
2001,M12,347.2
2002,M01,335.5
2002,M02,337.9
2002,M03,339.5
2002,M04,344.1
2002,M05,344.4
2002,M06,347.2
2002,M07,344.7
2002,M08,347.3
2002,M09,347.2
2002,M10,349.5
2002,M11,354.3
2002,M12,351.9
2003,M01,335.2
2003,M02,337.6
2003,M03,338.3
2003,M04,343.8
2003,M05,344.8
2003,M06,349.9
2003,M07,343.9
2003,M08,346.8
2003,M09,346
2003,M10,348.6
2003,M11,351.9
2003,M12,351.7
2004,M01,343.2
2004,M02,343.1
2004,M03,344.1
2004,M04,350.1
2004,M05,352.6
2004,M06,354.1
2004,M07,353.5
2004,M08,355.3
2004,M09,355.2
2004,M10,357.9
2004,M11,360.8
2004,M12,360.4
2005,M01,350.1
2005,M02,351.6
2005,M03,352.8
2005,M04,358.1
2005,M05,360.7
2005,M06,361.6
2005,M07,358.5
2005,M08,361
2005,M09,362.9
2005,M10,368.3
2005,M11,371.3
2005,M12,372.3
2006,M01,354.1
2006,M02,353.5
2006,M03,356.7
2006,M04,360.2
2006,M05,363
2006,M06,367.1
2006,M07,362.3
2006,M08,363.9
2006,M09,364.5
2006,M10,365.6
2006,M11,367.1
2006,M12,366.8
2007,M01,355.7
2007,M02,356.1
2007,M03,357.7
2007,M04,360.6
2007,M05,364.3
2007,M06,366.5
2007,M07,364.8
2007,M08,365.3
2007,M09,365.7
2007,M10,366.4
2007,M11,368.2
2007,M12,367.9
2008,M01,357.5
2008,M02,358.3
2008,M03,358.7
2008,M04,363.3
2008,M05,367.9
2008,M06,367.2
2008,M07,365.5
2008,M08,367.6
2008,M09,366.7
2008,M10,369.2
2008,M11,369.6
2008,M12,367.7
2009,M01,354.7
2009,M02,354.4
2009,M03,353.1
2009,M04,355.9
2009,M05,358.8
2009,M06,358.5
2009,M07,354.9
2009,M08,354.7
2009,M09,355.2
2009,M10,359.2
2009,M11,361.7
2009,M12,362.3
2010,M01,351.1
2010,M02,352.2
2010,M03,353.1
2010,M04,359.6
2010,M05,360.8
2010,M06,360.3
2010,M07,357.8
2010,M08,359.3
2010,M09,360.2
2010,M10,365.3
2010,M11,368
2010,M12,365.3
2011,M01,354.5
2011,M02,354.4
2011,M03,356.3
2011,M04,360.4
2011,M05,363.3
2011,M06,362.3
2011,M07,363.3
2011,M08,362.5
2011,M09,365.1
2011,M10,366.7
2011,M11,368.1
2011,M12,367.5
2012,M01,352.7
2012,M02,355.7
2012,M03,361.7
2012,M04,365.5
2012,M05,368.3
2012,M06,368.8
2012,M07,366.6
2012,M08,367.3
2012,M09,369.3
2012,M10,372.9
2012,M11,375.6
2012,M12,374.7
2013,M01,357.5
2013,M02,365.3
2013,M03,367.2
2013,M04,371.4
2013,M05,374
2013,M06,376
2013,M07,374.7
2013,M08,375.6
2013,M09,377.5
2013,M10,380.5
2013,M11,382.2
2013,M12,382.1
2014,M01,370.5
2014,M02,373.7
2014,M03,374.3
2014,M04,378.1
2014,M05,379.5
2014,M06,382.1
2014,M07,383.3
2014,M08,383.2
2014,M09,383.6
2014,M10,386.7
2014,M11,391.9
2014,M12,388.8
2015,M01,378.4
2015,M02,381.5
2015,M03,382.9
2015,M04,388.4
2015,M05,388.2
2015,M06,390.4
2015,M07,391.3
2015,M08,391.1
2015,M09,392.1
2015,M10,396.9
2015,M11,399.3
2015,M12,398.9
2016,M01,387.2
2016,M02,390.9
2016,M03,390.6
2016,M04,398.3
2016,M05,395.8
2016,M06,397.7
2016,M07,399.5
2016,M08,399.1
2016,M09,400
2016,M10,403
2016,M11,406.3
2016,M12,401.9
2017,M01,387.8
2017,M02,395.2
2017,M03,397
2017,M04,399.6
2017,M05,400.4
2017,M06,404.4
2017,M07,402.2
2017,M08,401.9
2017,M09,401
2017,M10,403.8
2017,M11,406.6
2017,M12,404.1
2018,M01,393.3
2018,M02,398.7
2018,M03,400
2018,M04,403
2018,M05,404.6
2018,M06,408.7
2018,M07,406.8
2018,M08,404.4
2018,M09,404.7
2018,M10,407.7
2018,M11,410.6
2018,M12,409.5
2019,M01,397.6
2019,M02,402
2019,M03,403.2
2019,M04,407.9
2019,M05,406.4
2019,M06,413.5
2019,M07,412.7
2019,M08,411
2019,M09,408
2019,M10,415.1
2019,M11,417.5
2019,M12,416.1
2020,M01,402.3
2020,M02,407.7
