DATE,USY,MXY
1/1/1993,9850.973,2.51651E+12
4/1/1993,9908.347,2.52314E+12
7/1/1993,9955.641,2.55021E+12
10/1/1993,10091.049,2.58241E+12
1/1/1994,10188.954,2.60919E+12
4/1/1994,10327.019,2.66385E+12
7/1/1994,10387.382,2.68554E+12
10/1/1994,10506.372,2.71546E+12
1/1/1995,10543.644,2.5595E+12
4/1/1995,10575.1,2.43411E+12
7/1/1995,10665.06,2.48152E+12
10/1/1995,10737.478,2.52761E+12
1/1/1996,10817.896,2.59182E+12
4/1/1996,10998.322,2.62973E+12
7/1/1996,11096.976,2.67588E+12
10/1/1996,11212.205,2.75465E+12
1/1/1997,11284.587,2.75951E+12
4/1/1997,11472.137,2.82326E+12
7/1/1997,11615.636,2.87823E+12
10/1/1997,11715.393,2.94768E+12
1/1/1998,11832.486,2.97585E+12
4/1/1998,11942.032,2.99763E+12
7/1/1998,12091.614,3.0113E+12
10/1/1998,12287,3.01597E+12
1/1/1999,12403.293,3.04883E+12
4/1/1999,12498.694,3.06638E+12
7/1/1999,12662.385,3.09123E+12
10/1/1999,12877.593,3.12323E+12
1/1/2000,12924.179,3.18076E+12
4/1/2000,13160.842,3.23192E+12
7/1/2000,13178.419,3.25713E+12
10/1/2000,13260.506,3.23547E+12
1/1/2001,13222.69,3.23947E+12
4/1/2001,13299.984,3.2198E+12
7/1/2001,13244.784,3.22066E+12
10/1/2001,13280.859,3.20542E+12
1/1/2002,13397.002,3.18586E+12
4/1/2002,13478.152,3.21319E+12
7/1/2002,13538.072,3.23515E+12
10/1/2002,13559.032,3.24521E+12
1/1/2003,13634.253,3.25383E+12
4/1/2003,13751.543,3.26033E+12
7/1/2003,13985.073,3.26005E+12
10/1/2003,14145.645,3.29409E+12
1/1/2004,14221.147,3.33599E+12
4/1/2004,14329.523,3.39258E+12
7/1/2004,14464.984,3.38794E+12
10/1/2004,14609.876,3.42956E+12
1/1/2005,14771.602,3.43548E+12
4/1/2005,14839.782,3.44559E+12
7/1/2005,14972.054,3.47728E+12
10/1/2005,15066.597,3.53236E+12
1/1/2006,15267.026,3.59453E+12
4/1/2006,15302.705,3.63008E+12
7/1/2006,15326.368,3.64124E+12
10/1/2006,15456.928,3.64909E+12
1/1/2007,15493.328,3.67497E+12
4/1/2007,15582.085,3.70324E+12
7/1/2007,15666.738,3.72638E+12
10/1/2007,15761.967,3.7413E+12
1/1/2008,15671.383,3.72909E+12
4/1/2008,15752.308,3.76208E+12
7/1/2008,15667.032,3.77317E+12
10/1/2008,15328.027,3.7131E+12
1/1/2009,15155.94,3.52417E+12
4/1/2009,15134.117,3.47033E+12
7/1/2009,15189.222,3.58292E+12
10/1/2009,15356.058,3.645E+12
1/1/2010,15415.145,3.68453E+12
4/1/2010,15557.277,3.7228E+12
7/1/2010,15671.967,3.75654E+12
10/1/2010,15750.625,3.7878E+12
1/1/2011,15712.754,3.81849E+12
4/1/2011,15825.096,3.83572E+12
7/1/2011,15820.7,3.90918E+12
10/1/2011,16004.107,3.93711E+12
1/1/2012,16129.418,3.9591E+12
4/1/2012,16198.807,3.99487E+12
7/1/2012,16220.667,4.01951E+12
10/1/2012,16239.138,4.05338E+12
1/1/2013,16382.964,4.06711E+12
4/1/2013,16403.18,4.03951E+12
7/1/2013,16531.685,4.07885E+12
10/1/2013,16663.649,4.10045E+12
1/1/2014,16621.696,4.12651E+12
4/1/2014,16830.111,4.17953E+12
7/1/2014,17033.572,4.19643E+12
10/1/2014,17113.945,4.24131E+12
1/1/2015,17254.744,4.26399E+12
4/1/2015,17397.029,4.3088E+12
7/1/2015,17438.802,4.36535E+12
10/1/2015,17456.225,4.3593E+12
1/1/2016,17523.374,4.3854E+12
4/1/2016,17622.486,4.40688E+12
7/1/2016,17706.705,4.46128E+12
10/1/2016,17784.185,4.50324E+12
1/1/2017,17863.023,4.52307E+12
4/1/2017,17995.15,4.5437E+12
7/1/2017,18120.843,4.53428E+12
10/1/2017,18223.758,4.57045E+12
1/1/2018,18323.963,4.61912E+12
4/1/2018,18511.576,4.61428E+12
7/1/2018,18664.973,4.65258E+12
